group,key,bias,mae,rmse,n
q2,load,-0.32491161739021956,29.465953528706475,40.714435832549874,48096
q2,pv,-0.12683621888168112,30.891081921226988,62.52914635609839,48096
q2,net,-0.19807539850853875,50.63819206448215,74.7019249457757,48096
q3_release,0,4.946037135797849,34.44090109110483,64.79637874438228,48096
q3_release,6,1.2892850031210996,22.949307787083274,41.61025643426536,48060
q3_release,12,5.153223539272031,36.69839040664852,87.30887310475974,48024
q3_release,18,9.296119952557586,46.287959253470774,88.68459717770823,47988
q3_lead,0:00/1-6h,-0.6436185129740519,1.274795499510239,5.477184234562786,12024
q3_lead,0:00/7-12h,25.807294020292748,59.55265557680934,83.03928812325154,12024
q3_lead,0:00/13-18h,-2.797838348303392,74.29698520967324,98.78974785246281,12024
q3_lead,0:00/19-24h,-2.5816886158239076,2.639168078426481,10.456844343913346,12024
q3_lead,6:00/1-6h,20.02277810628743,36.591313871331415,48.8841964019422,12024
q3_lead,6:00/7-12h,-11.700351692448434,50.80865540908923,66.07265668184317,12024
q3_lead,6:00/13-18h,-2.599405719117321,2.6171957494732756,10.131259173898925,12024
q3_lead,6:00/19-24h,-0.5714517503614726,1.7164948221369518,7.921789360926623,11988
q3_lead,12:00/1-6h,-15.850752694610776,30.213651107276185,37.840879040715016,12024
q3_lead,12:00/7-12h,-2.6406110501219784,2.653160519239299,10.092884072396481,12024
q3_lead,12:00/13-18h,-0.7042152513624736,1.4876850702554414,6.276199681332326,11988
q3_lead,12:00/19-24h,39.894953065565566,112.5607765490027,170.17445457772826,11988
q3_lead,18:00/1-6h,-2.6331207473941007,2.6456660235085385,10.012099013247846,12024
q3_lead,18:00/7-12h,-0.6152211364141918,1.4028225002780554,5.957914298518579,11988
q3_lead,18:00/13-18h,33.68417608858859,81.56567312845253,115.61951847205944,11988
q3_lead,18:00/19-24h,6.784469151095542,99.66873329927151,134.08779455846533,11988
